Microsoft (R) COFF/PE Dumper Version 14.43.34808.0
Copyright (C) Microsoft Corporation.  All rights reserved.

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    B7F0154A time date stamp
        0.00 version
           8 ordinal base
        2485 number of functions
        2484 number of names

    ordinal hint RVA      name

        307  12A 000A0390 NtCreatePartition
        308  12B 000A03B0 NtCreatePort
        309  12C 000A03D0 NtCreatePrivateNamespace
        310  12D 000A03F0 NtCreateProcess
        311  12E 0009F5E0 NtCreateProcessEx
        312  12F 000A0410 NtCreateProcessStateChange
        313  130 000A0430 NtCreateProfile
        314  131 000A0450 NtCreateProfileEx
        315  132 000A0470 NtCreateRegistryTransaction
        316  133 000A0490 NtCreateResourceManager
        317  134 0009F580 NtCreateSection
        318  135 000A04B0 NtCreateSectionEx
        319  136 000A04D0 NtCreateSemaphore
        320  137 000A04F0 NtCreateSymbolicLinkObject
        321  138 0009F600 NtCreateThread
        322  139 000A0510 NtCreateThreadEx
        323  13A 000A0530 NtCreateThreadStateChange
        324  13B 000A0550 NtCreateTimer
        325  13C 000A0570 NtCreateTimer2
        326  13D 000A0590 NtCreateToken
        327  13E 000A05B0 NtCreateTokenEx
        328  13F 000A05D0 NtCreateTransaction
        329  140 000A05F0 NtCreateTransactionManager
        330  141 000A0610 NtCreateUserProcess
        331  142 000A0630 NtCreateWaitCompletionPacket
        332  143 000A0650 NtCreateWaitablePort
        333  144 000A0670 NtCreateWnfStateName
        334  145 000A0690 NtCreateWorkerFactory
        335  146 000A06B0 NtDebugActiveProcess
        336  147 000A06D0 NtDebugContinue
        337  148 0009F2C0 NtDelayExecution
        338  149 000A06F0 NtDeleteAtom
        339  14A 000A0710 NtDeleteBootEntry
        340  14B 000A0730 NtDeleteDriverEntry
        341  14C 000A0750 NtDeleteFile
        342  14D 000A0770 NtDeleteKey
        343  14E 000A0790 NtDeleteObjectAuditAlarm
        344  14F 000A07B0 NtDeletePrivateNamespace
        345  150 000A07D0 NtDeleteValueKey
        346  151 000A07F0 NtDeleteWnfStateData
        347  152 000A0810 NtDeleteWnfStateName
        348  153 0009ED20 NtDeviceIoControlFile
        349  154 000A0830 NtDirectGraphicsCall
        350  155 000A0850 NtDisableLastKnownGood
        351  156 000A0870 NtDisplayString
        352  157 000A0890 NtDrawText
        353  158 0009F3C0 NtDuplicateObject
        354  159 0009F480 NtDuplicateToken
        355  15A 000A08B0 NtEnableLastKnownGood
        356  15B 000A08D0 NtEnumerateBootEntries
        357  15C 000A08F0 NtEnumerateDriverEntries
        358  15D 0009F280 NtEnumerateKey
        359  15E 000A0910 NtEnumerateSystemEnvironmentValuesEx
        360  15F 000A0930 NtEnumerateTransactionObject
        361  160 0009EEA0 NtEnumerateValueKey
        362  161 000A0950 NtExtendSection
        363  162 000A0970 NtFilterBootOption
        364  163 000A0990 NtFilterToken
        365  164 000A09B0 NtFilterTokenEx
        366  165 0009EEC0 NtFindAtom
        367  166 0009F5A0 NtFlushBuffersFile
        368  167 000A09D0 NtFlushBuffersFileEx
        369  168 000A09F0 NtFlushInstallUILanguage
        370  169 000A0A10 NtFlushInstructionCache
        371  16A 000A0A30 NtFlushKey
        372  16B 000A0A50 NtFlushProcessWriteBuffers
        373  16C 000A0A70 NtFlushVirtualMemory
        374  16D 000A0A90 NtFlushWriteBuffer
        375  16E 000A0AB0 NtFreeUserPhysicalPages
        376  16F 0009F000 NtFreeVirtualMemory
        377  170 000A0AD0 NtFreezeRegistry
        378  171 000A0AF0 NtFreezeTransactions
        379  172 0009F360 NtFsControlFile
        380  173 000A0B10 NtGetCachedSigningLevel
        381  174 000A0B30 NtGetCompleteWnfStateSubscription
        382  175 000A0B50 NtGetContextThread
        383  176 000A0B70 NtGetCurrentProcessorNumber
        384  177 000A0B90 NtGetCurrentProcessorNumberEx
        385  178 000A0BB0 NtGetDevicePowerState
        386  179 000A0BD0 NtGetMUIRegistryInfo
        387  17A 000A0BF0 NtGetNextProcess
        388  17B 000A0C10 NtGetNextThread
        389  17C 000A0C30 NtGetNlsSectionPtr
        390  17D 000A0C50 NtGetNotificationResourceManager
        391  17E 000F0040 NtGetTickCount
        392  17F 000A0C70 NtGetWriteWatch
        393  180 000A0C90 NtImpersonateAnonymousToken
        394  181 0009F020 NtImpersonateClientOfPort
        395  182 000A0CB0 NtImpersonateThread
        396  183 000A0CD0 NtInitializeEnclave
        397  184 000A0CF0 NtInitializeNlsFiles
        398  185 000A0D10 NtInitializeRegistry
        399  186 000A0D30 NtInitiatePowerAction
        400  187 0009F620 NtIsProcessInJob
        401  188 000A0D50 NtIsSystemResumeAutomatic
        402  189 000A0D70 NtIsUILanguageComitted
        403  18A 000A0D90 NtListenPort
        404  18B 000A0DB0 NtLoadDriver
        405  18C 000A0DD0 NtLoadEnclaveData
        406  18D 000A0DF0 NtLoadKey
        407  18E 000A0E10 NtLoadKey2
        408  18F 000A0E30 NtLoadKey3
