Microsoft (R) COFF/PE Dumper Version 14.43.34808.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file E:\KsaLib\0\dll_xp_win7_win11\ntdll_export\ntdll_86.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    2451EFDD time date stamp
        0.00 version
           8 ordinal base
        2482 number of functions
        2482 number of names

    ordinal hint RVA      name

        492  1DD 00076460 NtQueryDirectoryFile
        493  1DE 000775C0 NtQueryDirectoryFileEx
        494  1DF 000775D0 NtQueryDirectoryObject
        495  1E0 000775E0 NtQueryDriverEntryOrder
        496  1E1 000775F0 NtQueryEaFile
        497  1E2 00076670 NtQueryEvent
        498  1E3 00077600 NtQueryFullAttributesFile
        499  1E4 00077610 NtQueryInformationAtom
        500  1E5 00077620 NtQueryInformationByName
        501  1E6 00077630 NtQueryInformationCpuPartition
        502  1E7 00077640 NtQueryInformationEnlistment
        503  1E8 00076200 NtQueryInformationFile
        504  1E9 00077650 NtQueryInformationJobObject
        505  1EA 00077660 NtQueryInformationPort
        506  1EB 00076280 NtQueryInformationProcess
        507  1EC 00077670 NtQueryInformationResourceManager
        508  1ED 00076360 NtQueryInformationThread
        509  1EE 00076320 NtQueryInformationToken
        510  1EF 00077680 NtQueryInformationTransaction
        511  1F0 00077690 NtQueryInformationTransactionManager
        512  1F1 000776A0 NtQueryInformationWorkerFactory
        513  1F2 000776B0 NtQueryInstallUILanguage
        514  1F3 000776C0 NtQueryIntervalProfile
        515  1F4 000776D0 NtQueryIoCompletion
        516  1F5 000776E0 NtQueryIoRingCapabilities
        517  1F6 00076250 NtQueryKey
        518  1F7 000776F0 NtQueryLicenseValue
        519  1F8 00077700 NtQueryMultipleValueKey
        520  1F9 00077710 NtQueryMutant
        521  1FA 000761F0 NtQueryObject
        522  1FB 00077720 NtQueryOpenSubKeys
        523  1FC 00077730 NtQueryOpenSubKeysEx
        524  1FD 00076420 NtQueryPerformanceCounter
        525  1FE 00077740 NtQueryPortInformationProcess
        526  1FF 00077750 NtQueryQuotaInformationFile
        527  200 00076620 NtQuerySection
        528  201 00077760 NtQuerySecurityAttributesToken
        529  202 00077770 NtQuerySecurityObject
        530  203 00077780 NtQuerySecurityPolicy
        531  204 00077790 NtQuerySemaphore
        532  205 000777A0 NtQuerySymbolicLinkObject
        533  206 000777B0 NtQuerySystemEnvironmentValue
        534  207 000777C0 NtQuerySystemEnvironmentValueEx
        535  208 00076470 NtQuerySystemInformation
        536  209 000777D0 NtQuerySystemInformationEx
        537  20A 000766B0 NtQuerySystemTime
        538  20B 00076490 NtQueryTimer
        539  20C 000777E0 NtQueryTimerResolution
        540  20D 00076260 NtQueryValueKey
        541  20E 00076340 NtQueryVirtualMemory
        542  20F 000765A0 NtQueryVolumeInformationFile
        543  210 000777F0 NtQueryWnfStateData
        544  211 00077800 NtQueryWnfStateNameInformation
        545  212 00076560 NtQueueApcThread
        547  213 00077810 NtQueueApcThreadEx
        546  214 00077820 NtQueueApcThreadEx2
        548  215 00077830 NtRaiseException
        549  216 00077840 NtRaiseHardError
        550  217 00076150 NtReadFile
        551  218 000763F0 NtReadFileScatter
        552  219 00077850 NtReadOnlyEnlistment
        553  21A 00076650 NtReadRequestData
        554  21B 00076500 NtReadVirtualMemory
        555  21C 00077860 NtReadVirtualMemoryEx
        556  21D 00077870 NtRecoverEnlistment
        557  21E 00077880 NtRecoverResourceManager
        558  21F 00077890 NtRecoverTransactionManager
        559  220 000778A0 NtRegisterProtocolAddressInformation
        560  221 000778B0 NtRegisterThreadTerminatePort
        561  222 000778C0 NtReleaseKeyedEvent
        562  223 00076310 NtReleaseMutant
        563  224 00076190 NtReleaseSemaphore
        564  225 000778D0 NtReleaseWorkerFactoryWorker
        565  226 00076180 NtRemoveIoCompletion
        566  227 000778E0 NtRemoveIoCompletionEx
        567  228 000778F0 NtRemoveProcessDebug
