Microsoft (R) COFF/PE Dumper Version 14.43.34808.0
Copyright (C) Microsoft Corporation.  All rights reserved.

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    5C6E1C38 time date stamp Thu Feb 21 11:34:16 2019
        0.00 version
           1 ordinal base
        348  14D 00020F3C NtMapUserPhysicalPages
        349  14E 0001F8D0 NtMapUserPhysicalPagesScatter
        350  14F 0001FC80 NtMapViewOfSection
        351  150 00020F58 NtModifyBootEntry
        352  151 00020F70 NtModifyDriverEntry
        353  152 00020F88 NtNotifyChangeDirectoryFile
        354  153 00020FA0 NtNotifyChangeKey
        355  154 00020FB8 NtNotifyChangeMultipleKeys
        356  155 00020FD0 NtNotifyChangeSession
        357  156 0002012C NtOpenDirectoryObject
        358  157 00020FE8 NtOpenEnlistment
        359  158 0001FED8 NtOpenEvent
        360  159 00021000 NtOpenEventPair
        361  15A 0001FD94 NtOpenFile
        362  15B 00021018 NtOpenIoCompletion
        363  15C 00021030 NtOpenJobObject
        364  15D 0001FA58 NtOpenKey
        365  15E 00021048 NtOpenKeyEx
        366  15F 00021060 NtOpenKeyTransacted
        367  160 00021078 NtOpenKeyTransactedEx
        368  161 00021090 NtOpenKeyedEvent
        369  162 000210A8 NtOpenMutant
        370  163 000210C0 NtOpenObjectAuditAlarm
        371  164 000210D8 NtOpenPrivateNamespace
        372  165 0001FC50 NtOpenProcess
        373  166 000210F0 NtOpenProcessToken
        374  167 0001FD48 NtOpenProcessTokenEx
        375  168 00021108 NtOpenResourceManager
        376  169 0001FDF8 NtOpenSection
        377  16A 00021120 NtOpenSemaphore
        378  16B 00021138 NtOpenSession
        379  16C 00021150 NtOpenSymbolicLinkObject
        380  16D 00021168 NtOpenThread
        381  16E 0001FC20 NtOpenThreadToken
        382  16F 0001FD30 NtOpenThreadTokenEx
        383  170 00021180 NtOpenTimer
        384  171 00021198 NtOpenTransaction
        385  172 000211B0 NtOpenTransactionManager
        386  173 000211C8 NtPlugPlayControl
        387  174 000201DC NtPowerInformation
        388  175 000211E0 NtPrePrepareComplete
        389  176 000211F8 NtPrePrepareEnlistment
        390  177 00021210 NtPrepareComplete
        391  178 00021228 NtPrepareEnlistment
        392  179 00021240 NtPrivilegeCheck
        393  17A 0002125C NtPrivilegeObjectAuditAlarm
        394  17B 00021274 NtPrivilegedServiceAuditAlarm
        395  17C 0002128C NtPropagationComplete
        396  17D 000212A4 NtPropagationFailed
        397  17E 00020068 NtProtectVirtualMemory
        398  17F 000212BC NtPulseEvent
